Speedclass [m/s],Pi_tot_V [-],m_V [kg/s]
3750.0,1.7457653497931866,2.5401728480738073
3750.0,1.7811630685686692,2.3679099161840127
3750.0,1.8300709709885399,2.1501537369234853
3750.0,1.858460641866949,1.916741526458818
3750.0,1.8771230352586468,1.7815149003427468
3750.0,1.885871310033013,1.7272653592468334
4500.0,2.0254259056967703,3.0178915753807427
4500.0,2.108457623493256,2.69571663114919
4500.0,2.1554193150697563,2.396608067318072
4500.0,2.1690993929308275,2.1694747815725255
4500.0,2.1665615325850514,2.114730457674501
5250.0,2.346823981139635,3.7366926052079448
5250.0,2.481489461525896,3.389990005995321
5250.0,2.5510480786720775,3.072292813675387
5250.0,2.5787376386242897,2.8256364145954387
5250.0,2.5657103804875887,2.763472005837348
6000.0,2.7706976103211973,4.609628344547132
6000.0,2.926689628267,4.359787564845371
6000.0,2.9855393324872908,4.166240660796774
6000.0,3.055741297516689,3.8807531077294746
6000.0,3.093130307629548,3.7020169771345364
6000.0,3.1049650170607968,3.661260782735062
6750.0,3.1176403457055586,5.827371314723735
6750.0,3.3230795575286005,5.643884070410931
6750.0,3.5186039276984475,5.389454075620234
6750.0,3.622371057925004,5.194814793381511
6750.0,3.7066607679806207,4.97539690416018
6750.0,3.7889329865900105,4.671886815892245
6750.0,3.8250006088025446,4.577938227377614
7125.0,3.458550246180469,6.294371435469442
7125.0,3.663601276223234,6.130083940416611
7125.0,3.9387773591022484,5.89364486762442
7125.0,4.045533457901968,5.710808184614732
7125.0,4.1328943318273,5.5080387044310015
7125.0,4.229172572517521,5.203085115153827
7125.0,4.251031461302387,5.087857954912215
7125.0,4.270280906137608,4.988544391990347
7500.0,3.8157678105868476,6.8231132867149675
7500.0,4.046010651534195,6.7336807847852755
7500.0,4.37411996058481,6.491907050682762
7500.0,4.5460130201882,6.181472777930547
7500.0,4.633140292864154,5.993146410016598
7500.0,4.709737063639933,5.7485536279325045
7500.0,4.744917955735662,5.584594840279566
7875.0,4.199899814906022,7.330305418084157
7875.0,4.429509536192169,7.2491263100880285
7875.0,4.796003927660945,7.074709228273049
7875.0,4.984490462644896,6.87553664164164
7875.0,5.153134247768377,6.6116173712582205
7875.0,5.213041972235293,6.361878309665032
7875.0,5.239803452947614,6.176316772527822
8250.0,4.7805547615912305,7.667916362672279
8250.0,5.081341358334065,7.581823516287084
8250.0,5.340363554672579,7.491395252715688
8250.0,5.500936323076886,7.354005194238213
8250.0,5.6554846407635475,7.197620514212677
8250.0,5.725390370444955,7.039311206089964
8250.0,5.753286735344563,7.011151610951714
8550.0,5.011901744629826,7.766582819833122
8550.0,5.369666522541259,7.739836251477111
8550.0,5.650186114311476,7.715263020378682
8550.0,5.875147805423752,7.674418984807237
8550.0,6.077067823059559,7.611541980476533
